observation_date,OHICLAIMS
2001-01-06,26744
2001-01-13,25662
2001-01-20,18704
2001-01-27,18330
2001-02-03,19769
2001-02-10,26552
2001-02-17,13194
2001-02-24,12012
2001-03-03,13544
2001-03-10,18189
2001-03-17,12034
2001-03-24,11371
2001-03-31,11961
2001-04-07,12414
2001-04-14,11437
2001-04-21,12651
2001-04-28,12979
2001-05-05,11408
2001-05-12,12560
2001-05-19,11974
2001-05-26,11080
2001-06-02,14271
2001-06-09,13918
2001-06-16,12734
2001-06-23,10745
2001-06-30,11679
2001-07-07,16910
2001-07-14,22326
2001-07-21,21394
2001-07-28,12995
2001-08-04,12519
2001-08-11,10829
2001-08-18,10321
2001-08-25,10919
2001-09-01,11409
2001-09-08,12233
2001-09-15,10086
2001-09-22,11499
2001-09-29,15224
2001-10-06,14076
2001-10-13,13769
2001-10-20,15062
2001-10-27,16403
2001-11-03,15504
2001-11-10,16956
2001-11-17,15194
2001-11-24,15570
2001-12-01,20911
2001-12-08,21396
2001-12-15,18572
2001-12-22,23162
2001-12-29,25875
2002-01-05,30489
2002-01-12,33949
2002-01-19,23473
2002-01-26,17017
2002-02-02,16784
2002-02-09,16032
2002-02-16,12398
2002-02-23,12887
2002-03-02,14123
2002-03-09,14333
2002-03-16,12247
2002-03-23,12830
2002-03-30,14291
2002-04-06,15049
2002-04-13,16021
2002-04-20,14099
2002-04-27,13981
2002-05-04,13313
2002-05-11,15363
2002-05-18,14298
2002-05-25,12700
2002-06-01,11522
2002-06-08,13898
2002-06-15,13026
2002-06-22,12194
2002-06-29,11554
2002-07-06,14926
2002-07-13,16162
2002-07-20,20017
2002-07-27,13563
2002-08-03,12875
2002-08-10,11711
2002-08-17,10419
2002-08-24,10713
2002-08-31,9810
2002-09-07,9343
2002-09-14,14974
2002-09-21,12762
2002-09-28,11052
2002-10-05,12911
2002-10-12,14053
2002-10-19,12133
2002-10-26,13515
2002-11-02,14531
2002-11-09,16585
2002-11-16,15076
2002-11-23,15754
2002-11-30,15845
2002-12-07,22892
2002-12-14,18756
2002-12-21,18579
2002-12-28,26248
2003-01-04,24692
2003-01-11,30698
2003-01-18,23500
2003-01-25,18075
2003-02-01,16480
2003-02-08,15770
2003-02-15,14547
2003-02-22,14177
2003-03-01,15061
2003-03-08,14524
2003-03-15,13355
2003-03-22,12075
2003-03-29,11566
2003-04-05,13269
2003-04-12,14396
2003-04-19,18063
2003-04-26,12476
2003-05-03,15150
2003-05-10,13929
2003-05-17,11600
2003-05-24,11054
2003-05-31,12195
2003-06-07,14848
2003-06-14,15718
2003-06-21,12686
2003-06-28,12547
2003-07-05,17545
2003-07-12,22414
2003-07-19,21528
2003-07-26,14726
2003-08-02,13018
2003-08-09,12620
2003-08-16,10362
2003-08-23,11559
2003-08-30,11593
2003-09-06,11672
2003-09-13,10910
2003-09-20,10553
2003-09-27,10882
2003-10-04,12218
2003-10-11,12938
2003-10-18,11510
2003-10-25,12207
2003-11-01,12864
2003-11-08,13691
2003-11-15,13479
2003-11-22,14690
2003-11-29,14605
2003-12-06,17243
2003-12-13,19385
2003-12-20,19124
2003-12-27,23030
2004-01-03,21763
2004-01-10,30820
2004-01-17,24209
2004-01-24,17551
2004-01-31,18645
2004-02-07,16076
2004-02-14,13483
2004-02-21,11919
2004-02-28,11926
2004-03-06,12375
2004-03-13,11394
2004-03-20,11576
2004-03-27,10367
2004-04-03,11386
2004-04-10,11483
2004-04-17,10703
2004-04-24,10780
2004-05-01,10889
2004-05-08,11075
2004-05-15,9959
2004-05-22,9818
2004-05-29,10482
2004-06-05,10507
2004-06-12,12084
2004-06-19,11970
2004-06-26,12576
2004-07-03,13810
2004-07-10,15757
2004-07-17,16012
2004-07-24,13986
2004-07-31,14420
2004-08-07,10620
2004-08-14,4965
2004-08-21,12369
2004-08-28,11133
2004-09-04,11248
2004-09-11,9748
2004-09-18,9338
2004-09-25,9993
2004-10-02,10261
2004-10-09,11714
2004-10-16,10040
2004-10-23,11746
2004-10-30,10784
2004-11-06,13161
2004-11-13,11804
2004-11-20,13229
2004-11-27,13573
2004-12-04,18025
2004-12-11,15797
2004-12-18,17972
2004-12-25,20069
2005-01-01,22594
2005-01-08,29677
2005-01-15,20783
2005-01-22,17408
2005-01-29,14728
2005-02-05,13026
2005-02-12,11664
2005-02-19,11553
2005-02-26,10099
2005-03-05,12335
2005-03-12,11926
2005-03-19,13234
2005-03-26,11831
2005-04-02,12055
2005-04-09,11213
2005-04-16,9644
2005-04-23,10472
2005-04-30,12688
2005-05-07,13430
2005-05-14,11079
2005-05-21,9773
2005-05-28,10506
2005-06-04,11640
2005-06-11,12274
2005-06-18,10660
2005-06-25,10079
2005-07-02,12200
2005-07-09,20198
2005-07-16,16224
2005-07-23,12297
2005-07-30,10629
2005-08-06,9386
2005-08-13,9414
2005-08-20,9491
2005-08-27,10138
2005-09-03,10089
2005-09-10,8467
2005-09-17,8975
2005-09-24,8642
2005-10-01,8926
2005-10-08,10780
2005-10-15,8835
2005-10-22,9455
2005-10-29,12645
2005-11-05,12361
2005-11-12,10025
2005-11-19,13889
2005-11-26,12989
2005-12-03,16118
2005-12-10,20230
2005-12-17,16841
2005-12-24,23884
2005-12-31,21430
2006-01-07,20019
2006-01-14,18758
2006-01-21,12379
2006-01-28,15139
2006-02-04,13072
2006-02-11,13084
2006-02-18,10094
2006-02-25,9722
2006-03-04,12268
2006-03-11,11328
2006-03-18,10396
2006-03-25,9178
2006-04-01,9480
2006-04-08,10280
2006-04-15,8603
2006-04-22,9895
2006-04-29,17069
2006-05-06,9491
2006-05-13,9022
2006-05-20,15585
2006-05-27,10250
2006-06-03,9460
2006-06-10,10501
2006-06-17,9795
2006-06-24,8895
2006-07-01,9676
2006-07-08,21917
2006-07-15,15921
2006-07-22,11297
2006-07-29,8824
2006-08-05,10544
2006-08-12,8932
2006-08-19,11416
2006-08-26,9571
2006-09-02,9871
2006-09-09,8512
2006-09-16,8987
2006-09-23,8591
2006-09-30,9023
2006-10-07,10709
2006-10-14,8776
2006-10-21,11639
2006-10-28,12303
2006-11-04,12301
2006-11-11,10092
2006-11-18,13183
2006-11-25,12255
2006-12-02,14299
2006-12-09,19120
2006-12-16,14940
2006-12-23,18089
2006-12-30,24022
2007-01-06,20815
2007-01-13,20239
2007-01-20,14376
2007-01-27,14538
2007-02-03,13750
2007-02-10,19032
2007-02-17,12377
2007-02-24,10755
2007-03-03,10162
2007-03-10,10533
2007-03-17,13164
2007-03-24,9380
2007-03-31,9931
2007-04-07,11559
2007-04-14,11429
2007-04-21,9070
2007-04-28,9690
2007-05-05,9189
2007-05-12,8439
2007-05-19,9272
2007-05-26,9524
2007-06-02,9340
2007-06-09,10292
2007-06-16,10483
2007-06-23,9703
2007-06-30,9780
2007-07-07,22610
2007-07-14,11579
2007-07-21,11227
2007-07-28,9055
2007-08-04,9052
2007-08-11,9222
2007-08-18,8527
2007-08-25,9050
2007-09-01,8441
2007-09-08,8699
2007-09-15,7997
2007-09-22,8136
2007-09-29,10132
2007-10-06,10414
2007-10-13,12937
2007-10-20,11190
2007-10-27,13862
2007-11-03,13764
2007-11-10,12206
2007-11-17,12115
2007-11-24,13697
2007-12-01,16215
2007-12-08,20211
2007-12-15,16717
2007-12-22,20049
2007-12-29,25660
2008-01-05,18071
2008-01-12,20245
2008-01-19,17445
2008-01-26,14407
2008-02-02,16622
2008-02-09,13870
2008-02-16,12014
2008-02-23,11135
2008-03-01,10929
2008-03-08,12401
2008-03-15,17887
2008-03-22,11895
2008-03-29,12437
2008-04-05,13597
2008-04-12,12289
2008-04-19,11056
2008-04-26,11354
2008-05-03,11443
2008-05-10,10834
2008-05-17,11016
2008-05-24,13406
2008-05-31,11134
2008-06-07,13589
2008-06-14,12175
2008-06-21,10475
2008-06-28,11795
2008-07-05,18788
2008-07-12,19033
2008-07-19,15715
2008-07-26,20349
2008-08-02,14866
2008-08-09,15975
2008-08-16,12565
2008-08-23,11817
2008-08-30,14652
2008-09-06,12331
2008-09-13,13576
2008-09-20,15002
2008-09-27,13512
2008-10-04,20729
2008-10-11,16412
2008-10-18,13489
2008-10-25,17438
2008-11-01,21323
2008-11-08,21500
2008-11-15,21185
2008-11-22,27843
2008-11-29,25698
2008-12-06,31049
2008-12-13,28133
2008-12-20,32456
2008-12-27,35727
2009-01-03,28228
2009-01-10,40829
2009-01-17,34352
2009-01-24,24426
2009-01-31,29164
2009-02-07,29372
2009-02-14,25589
2009-02-21,28320
2009-02-28,28551
2009-03-07,27481
2009-03-14,24084
2009-03-21,23104
2009-03-28,26104
2009-04-04,23388
2009-04-11,25323
2009-04-18,22013
2009-04-25,22812
2009-05-02,23825
2009-05-09,25907
2009-05-16,23385
2009-05-23,21227
2009-05-30,19950
2009-06-06,25054
2009-06-13,21252
2009-06-20,21031
2009-06-27,21665
2009-07-04,25905
2009-07-11,25249
2009-07-18,20187
2009-07-25,21078
2009-08-01,18696
2009-08-08,17745
2009-08-15,15827
2009-08-22,17845
2009-08-29,16013
2009-09-05,16487
2009-09-12,14728
2009-09-19,13924
2009-09-26,17345
2009-10-03,16894
2009-10-10,17848
2009-10-17,16127
2009-10-24,16308
2009-10-31,16604
2009-11-07,19896
2009-11-14,17410
2009-11-21,18901
2009-11-28,18421
2009-12-05,20613
2009-12-12,19342
2009-12-19,19448
2009-12-26,23809
2010-01-02,26841
2010-01-09,28251
2010-01-16,21282
2010-01-23,16256
2010-01-30,18206
2010-02-06,17881
2010-02-13,16368
2010-02-20,14238
2010-02-27,14650
2010-03-06,15951
2010-03-13,13052
2010-03-20,11429
2010-03-27,11976
2010-04-03,13745
2010-04-10,14874
2010-04-17,11882
2010-04-24,12803
2010-05-01,12505
2010-05-08,12837
2010-05-15,12932
2010-05-22,12964
2010-05-29,12567
2010-06-05,14239
2010-06-12,14508
2010-06-19,13840
2010-06-26,13425
2010-07-03,16351
2010-07-10,15455
2010-07-17,14053
2010-07-24,13396
2010-07-31,14584
2010-08-07,14682
2010-08-14,12988
2010-08-21,11339
2010-08-28,11721
2010-09-04,11626
2010-09-11,10609
2010-09-18,12106
2010-09-25,10760
2010-10-02,11064
2010-10-09,14067
2010-10-16,11275
2010-10-23,11700
2010-10-30,13009
2010-11-06,14654
2010-11-13,13034
2010-11-20,15808
2010-11-27,16900
2010-12-04,20536
2010-12-11,19331
2010-12-18,20786
2010-12-25,20123
2011-01-01,22444
2011-01-08,24967
2011-01-15,18191
2011-01-22,15065
2011-01-29,14625
2011-02-05,14869
2011-02-12,12696
2011-02-19,11219
2011-02-26,10372
2011-03-05,12618
2011-03-12,11769
2011-03-19,10449
2011-03-26,10269
2011-04-02,11363
2011-04-09,14372
2011-04-16,11736
2011-04-23,13436
2011-04-30,15755
2011-05-07,12741
2011-05-14,11968
2011-05-21,12427
2011-05-28,12588
2011-06-04,12091
2011-06-11,15075
2011-06-18,12306
2011-06-25,11587
2011-07-02,11505
2011-07-09,17344
2011-07-16,12307
2011-07-23,10051
2011-07-30,9868
2011-08-06,9911
2011-08-13,9925
2011-08-20,9621
2011-08-27,9577
2011-09-03,9979
2011-09-10,9131
2011-09-17,11145
2011-09-24,10066
2011-10-01,10206
2011-10-08,12668
2011-10-15,10403
2011-10-22,11346
2011-10-29,11874
2011-11-05,12418
2011-11-12,11039
2011-11-19,13657
2011-11-26,15157
2011-12-03,22030
2011-12-10,16259
2011-12-17,15821
2011-12-24,19905
2011-12-31,21031
2012-01-07,20799
2012-01-14,17977
2012-01-21,14395
2012-01-28,13838
2012-02-04,12744
2012-02-11,11464
2012-02-18,10990
2012-02-25,10653
2012-03-03,11285
2012-03-10,10904
2012-03-17,9485
2012-03-24,10081
2012-03-31,10103
2012-04-07,12287
2012-04-14,11356
2012-04-21,9558
2012-04-28,9925
2012-05-05,9924
2012-05-12,9552
2012-05-19,9512
2012-05-26,10430
2012-06-02,10437
2012-06-09,12033
2012-06-16,11381
2012-06-23,9793
2012-06-30,9728
2012-07-07,15704
2012-07-14,12584
2012-07-21,11409
2012-07-28,9599
2012-08-04,10617
2012-08-11,10656
2012-08-18,9277
2012-08-25,9908
2012-09-01,9784
2012-09-08,9074
2012-09-15,9347
2012-09-22,11322
2012-09-29,9599
2012-10-06,10581
2012-10-13,12517
2012-10-20,11303
2012-10-27,11078
2012-11-03,17528
2012-11-10,12532
2012-11-17,11516
2012-11-24,13768
2012-12-01,15037
2012-12-08,15780
2012-12-15,14260
2012-12-22,23055
2012-12-29,24295
2013-01-05,19380
2013-01-12,17252
2013-01-19,15900
2013-01-26,13312
2013-02-02,13726
2013-02-09,12753
2013-02-16,10488
2013-02-23,10116
2013-03-02,10648
2013-03-09,11389
2013-03-16,10197
2013-03-23,9747
2013-03-30,10241
2013-04-06,13270
2013-04-13,10234
2013-04-20,9138
2013-04-27,9297
2013-05-04,9849
2013-05-11,9834
2013-05-18,9211
2013-05-25,9932
2013-06-01,8962
2013-06-08,11288
2013-06-15,10642
2013-06-22,8963
2013-06-29,9916
2013-07-06,13687
2013-07-13,11186
2013-07-20,9192
2013-07-27,9229
2013-08-03,10499
2013-08-10,8945
2013-08-17,8394
2013-08-24,8771
2013-08-31,8400
2013-09-07,8137
2013-09-14,8160
2013-09-21,7986
2013-09-28,8309
2013-10-05,12431
2013-10-12,10267
2013-10-19,9152
2013-10-26,9678
2013-11-02,11967
2013-11-09,11558
2013-11-16,10390
2013-11-23,12417
2013-11-30,15014
2013-12-07,13919
2013-12-14,15448
2013-12-21,14802
2013-12-28,21838
2014-01-04,16356
2014-01-11,16837
2014-01-18,11743
2014-01-25,11641
2014-02-01,13421
2014-02-08,11073
2014-02-15,9698
2014-02-22,8526
2014-03-01,8957
2014-03-08,9309
2014-03-15,8372
2014-03-22,7848
2014-03-29,9048
2014-04-05,9016
2014-04-12,8009
2014-04-19,7421
2014-04-26,7672
2014-05-03,8094
2014-05-10,7810
2014-05-17,8117
2014-05-24,9083
2014-05-31,8227
2014-06-07,9170
2014-06-14,8914
2014-06-21,7533
2014-06-28,7432
2014-07-05,10964
2014-07-12,9412
2014-07-19,9704
2014-07-26,7003
2014-08-02,7409
2014-08-09,7506
2014-08-16,6864
2014-08-23,6803
2014-08-30,6710
2014-09-06,6562
2014-09-13,6381
2014-09-20,6045
2014-09-27,6064
2014-10-04,7798
2014-10-11,7404
2014-10-18,7573
2014-10-25,10962
2014-11-01,8637
2014-11-08,8814
2014-11-15,8391
2014-11-22,15508
2014-11-29,11224
2014-12-06,11217
2014-12-13,10970
2014-12-20,14961
2014-12-27,17148
2015-01-03,14893
2015-01-10,17663
2015-01-17,12358
2015-01-24,8853
2015-01-31,9904
2015-02-07,10357
2015-02-14,9221
2015-02-21,11355
2015-02-28,11176
2015-03-07,8601
2015-03-14,7723
2015-03-21,7190
2015-03-28,7214
2015-04-04,8031
2015-04-11,8663
2015-04-18,6701
2015-04-25,7221
2015-05-02,6755
2015-05-09,7249
2015-05-16,7435
2015-05-23,7070
2015-05-30,7610
2015-06-06,8762
2015-06-13,7594
2015-06-20,7156
2015-06-27,6664
2015-07-04,9854
2015-07-11,8857
2015-07-18,8012
2015-07-25,6572
2015-08-01,6573
2015-08-08,7190
2015-08-15,6189
2015-08-22,6650
2015-08-29,7677
2015-09-05,7516
2015-09-12,6093
2015-09-19,6515
2015-09-26,6221
2015-10-03,6833
2015-10-10,6556
2015-10-17,6349
2015-10-24,7144
2015-10-31,8342
2015-11-07,9435
2015-11-14,9316
2015-11-21,9544
2015-11-28,11756
2015-12-05,12661
2015-12-12,12857
2015-12-19,12873
2015-12-26,16774
2016-01-02,15346
2016-01-09,14945
2016-01-16,12744
2016-01-23,10404
2016-01-30,11019
2016-02-06,9324
2016-02-13,8490
2016-02-20,7569
2016-02-27,7456
2016-03-05,7759
2016-03-12,6850
2016-03-19,6541
2016-03-26,7974
2016-04-02,8151
2016-04-09,7382
2016-04-16,6172
2016-04-23,6522
2016-04-30,10046
2016-05-07,7521
2016-05-14,7610
2016-05-21,7073
2016-05-28,7640
2016-06-04,9470
2016-06-11,8369
2016-06-18,6730
2016-06-25,6070
2016-07-02,7578
2016-07-09,9839
2016-07-16,7289
2016-07-23,7677
2016-07-30,6810
2016-08-06,7762
2016-08-13,6477
2016-08-20,6527
2016-08-27,5970
2016-09-03,6611
2016-09-10,5965
2016-09-17,6477
2016-09-24,5725
2016-10-01,6251
2016-10-08,6648
2016-10-15,6171
2016-10-22,6872
2016-10-29,7509
2016-11-05,8537
2016-11-12,7451
2016-11-19,9634
2016-11-26,10771
2016-12-03,10836
2016-12-10,10749
2016-12-17,13374
2016-12-24,15420
2016-12-31,14582
2017-01-07,12860
2017-01-14,10098
2017-01-21,8208
2017-01-28,11867
2017-02-04,8920
2017-02-11,8288
2017-02-18,7082
2017-02-25,5828
2017-03-04,6733
2017-03-11,6410
2017-03-18,10615
2017-03-25,6313
2017-04-01,7335
2017-04-08,7161
2017-04-15,8400
2017-04-22,6647
2017-04-29,5416
2017-05-06,6572
2017-05-13,6215
2017-05-20,5887
2017-05-27,7122
2017-06-03,7458
2017-06-10,6629
2017-06-17,6064
2017-06-24,6071
2017-07-01,6297
2017-07-08,10921
2017-07-15,7828
2017-07-22,6047
2017-07-29,5872
2017-08-05,6124
2017-08-12,5433
2017-08-19,5306
2017-08-26,5198
2017-09-02,5467
2017-09-09,5146
2017-09-16,9214
2017-09-23,5449
2017-09-30,8016
2017-10-07,7333
2017-10-14,5823
2017-10-21,5946
2017-10-28,6769
2017-11-04,8307
2017-11-11,7179
2017-11-18,8230
2017-11-25,8418
2017-12-02,10406
2017-12-09,9891
2017-12-16,11953
2017-12-23,11745
2017-12-30,17518
2018-01-06,14935
2018-01-13,12190
2018-01-20,8324
2018-01-27,7486
2018-02-03,7616
2018-02-10,7402
2018-02-17,6550
2018-02-24,6125
2018-03-03,6231
2018-03-10,5770
2018-03-17,5451
2018-03-24,5283
2018-03-31,6779
2018-04-07,6824
2018-04-14,5198
2018-04-21,5224
2018-04-28,5040
2018-05-05,6722
2018-05-12,5475
2018-05-19,5959
2018-05-26,6168
2018-06-02,6866
2018-06-09,6889
2018-06-16,6006
2018-06-23,5337
2018-06-30,6937
2018-07-07,9975
2018-07-14,6555
2018-07-21,5534
2018-07-28,4888
2018-08-04,4911
2018-08-11,4983
2018-08-18,4726
2018-08-25,4361
2018-09-01,4770
2018-09-08,4197
2018-09-15,4449
2018-09-22,4239
2018-09-29,4681
2018-10-06,4941
2018-10-13,4686
2018-10-20,5012
2018-10-27,5438
2018-11-03,7169
2018-11-10,7024
2018-11-17,7519
2018-11-24,7952
2018-12-01,10226
2018-12-08,8804
2018-12-15,8686
2018-12-22,10850
2018-12-29,15685
2019-01-05,9984
2019-01-12,10168
2019-01-19,12361
2019-01-26,8838
2019-02-02,8443
2019-02-09,6584
2019-02-16,5843
2019-02-23,6181
2019-03-02,5427
2019-03-09,6569
2019-03-16,6449
2019-03-23,5981
2019-03-30,6197
2019-04-06,6011
2019-04-13,5235
2019-04-20,6076
2019-04-27,5659
2019-05-04,5518
2019-05-11,5773
2019-05-18,9941
2019-05-25,6668
2019-06-01,7161
2019-06-08,7063
2019-06-15,5698
2019-06-22,5980
2019-06-29,5970
2019-07-06,6295
2019-07-13,7503
2019-07-20,5655
2019-07-27,4949
2019-08-03,4921
2019-08-10,4814
2019-08-17,4659
2019-08-24,4933
2019-08-31,4715
2019-09-07,4428
2019-09-14,4566
2019-09-21,4887
2019-09-28,7048
2019-10-05,6159
2019-10-12,5904
2019-10-19,6262
2019-10-26,7368
2019-11-02,7314
2019-11-09,7811
2019-11-16,8739
2019-11-23,7868
2019-11-30,9372
2019-12-07,10388
2019-12-14,9999
2019-12-21,10634
2019-12-28,15943
